
INTEGERS

1

  Merge Sort      | reverse_sorted_int   | size=   5,000 |     6.5057 ms  (avg of 10 runs)
  Quick Sort      | reverse_sorted_int   | size=   5,000 |   333.1901 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=   5,000 |   417.5691 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=   5,000 |    35.1231 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=   5,000 |     7.9408 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=   5,000 |   253.9348 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=   5,000 |     6.9494 ms  (avg of 10 runs)
  Quick Sort      | almost_sorted_int    | size=   5,000 |     8.1684 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=   5,000 |   569.1174 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=   5,000 |   208.2413 ms  (avg of 10 runs)
  Heap Sort       | mixed_int            | size=   5,000 |     7.7076 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=   5,000 |   253.3966 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=   5,000 |     7.0156 ms  (avg of 10 runs)
  Quick Sort      | mixed_int            | size=   5,000 |     3.9277 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=   5,000 |   459.5882 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=   5,000 |   171.9594 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=   5,000 |     4.5930 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=   5,000 |   288.5768 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=   5,000 |     6.9982 ms  (avg of 10 runs)
  Quick Sort      | flat_int             | size=   5,000 |   198.9137 ms  (avg of 10 runs)
  Bubble Sort     | random_int           | size=  10,000 |  2573.4976 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=  10,000 |  1111.7561 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=  10,000 |    16.5003 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=  10,000 |  1013.5316 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=  10,000 |    15.7620 ms  (avg of 10 runs)
  Quick Sort      | random_int           | size=  10,000 |     7.4483 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=  10,000 |     0.3179 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=  10,000 |     0.5740 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=  10,000 |    17.2266 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=  10,000 |  1021.2414 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=  10,000 |    13.9942 ms  (avg of 10 runs)
  Quick Sort      | sorted_int           | size=  10,000 |  2301.1063 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=  10,000 |  3111.4313 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=  10,000 |  2197.4521 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=  10,000 |    15.3321 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=  10,000 |  1182.9694 ms  (avg of 10 runs)
  Merge Sort      | reverse_sorted_int   | size=  10,000 |    13.9016 ms  (avg of 10 runs)
  Quick Sort      | reverse_sorted_int   | size=  10,000 |  1135.4059 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=  10,000 |  1751.0551 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=  10,000 |   143.5445 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=  10,000 |    17.1000 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=  10,000 |  1021.2574 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=  10,000 |    14.7896 ms  (avg of 10 runs)
  Quick Sort      | almost_sorted_int    | size=  10,000 |    12.7499 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=  10,000 |  2335.8440 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=  10,000 |   836.4001 ms  (avg of 10 runs)
  Heap Sort       | mixed_int            | size=  10,000 |    16.7074 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=  10,000 |  1010.5472 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=  10,000 |    14.8200 ms  (avg of 10 runs)
  Quick Sort      | mixed_int            | size=  10,000 |     8.4707 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=  10,000 |  1432.8061 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=  10,000 |   618.0045 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=  10,000 |     7.7171 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=  10,000 |  1195.1911 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=  10,000 |    14.8052 ms  (avg of 10 runs)
  Quick Sort      | flat_int             | size=  10,000 |   966.1790 ms  (avg of 10 runs)
  Bubble Sort     | random_int           | size=  50,000 | 67602.9535 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=  50,000 | 28711.9458 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=  50,000 |   103.1005 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=  50,000 | 25833.3827 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=  50,000 |    90.6254 ms  (avg of 10 runs)
  Quick Sort      | random_int           | size=  50,000 |    47.6650 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=  50,000 |     1.6448 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=  50,000 |     2.9348 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=  50,000 |   103.5846 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=  50,000 | 27197.8835 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=  50,000 |    79.9515 ms  (avg of 10 runs)
  Quick Sort      | sorted_int           | size=  50,000 | 67170.2948 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=  50,000 | 106503.9020 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=  50,000 | 85234.8833 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=  50,000 |    93.6408 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=  50,000 | 30148.6538 ms  (avg of 10 runs)
  Merge Sort      | reverse_sorted_int   | size=  50,000 |    80.5228 ms  (avg of 10 runs)
