
INTEGERS

1

  Heap Sort       | mixed_int            | size=      20 |     0.0099 ms  (avg of 10000 runs)
  Selection Sort  | mixed_int            | size=      20 |     0.0057 ms  (avg of 10000 runs)
  Merge Sort      | mixed_int            | size=      20 |     0.0155 ms  (avg of 10000 runs)
  Quick Sort      | mixed_int            | size=      20 |     0.0048 ms  (avg of 10000 runs)
  Bubble Sort     | flat_int             | size=      20 |     0.0075 ms  (avg of 10000 runs)
  Insertion Sort  | flat_int             | size=      20 |     0.0035 ms  (avg of 10000 runs)
  Heap Sort       | flat_int             | size=      20 |     0.0088 ms  (avg of 10000 runs)
  Selection Sort  | flat_int             | size=      20 |     0.0057 ms  (avg of 10000 runs)
  Merge Sort      | flat_int             | size=      20 |     0.0145 ms  (avg of 10000 runs)
  Quick Sort      | flat_int             | size=      20 |     0.0064 ms  (avg of 10000 runs)
  Bubble Sort     | random_int           | size=      30 |     0.0211 ms  (avg of 10000 runs)
  Insertion Sort  | random_int           | size=      30 |     0.0112 ms  (avg of 10000 runs)
  Heap Sort       | random_int           | size=      30 |     0.0171 ms  (avg of 10000 runs)
  Selection Sort  | random_int           | size=      30 |     0.0109 ms  (avg of 10000 runs)
  Merge Sort      | random_int           | size=      30 |     0.0227 ms  (avg of 10000 runs)
  Quick Sort      | random_int           | size=      30 |     0.0067 ms  (avg of 10000 runs)
  Bubble Sort     | sorted_int           | size=      30 |     0.0008 ms  (avg of 10000 runs)
  Insertion Sort  | sorted_int           | size=      30 |     0.0015 ms  (avg of 10000 runs)
  Heap Sort       | sorted_int           | size=      30 |     0.0177 ms  (avg of 10000 runs)
  Selection Sort  | sorted_int           | size=      30 |     0.0105 ms  (avg of 10000 runs)
  Merge Sort      | sorted_int           | size=      30 |     0.0219 ms  (avg of 10000 runs)
  Quick Sort      | sorted_int           | size=      30 |     0.0228 ms  (avg of 10000 runs)
  Bubble Sort     | reverse_sorted_int   | size=      30 |     0.0241 ms  (avg of 10000 runs)
  Insertion Sort  | reverse_sorted_int   | size=      30 |     0.0181 ms  (avg of 10000 runs)
  Heap Sort       | reverse_sorted_int   | size=      30 |     0.0145 ms  (avg of 10000 runs)
  Selection Sort  | reverse_sorted_int   | size=      30 |     0.0111 ms  (avg of 10000 runs)
  Merge Sort      | reverse_sorted_int   | size=      30 |     0.0219 ms  (avg of 10000 runs)
  Quick Sort      | reverse_sorted_int   | size=      30 |     0.0183 ms  (avg of 10000 runs)
  Bubble Sort     | almost_sorted_int    | size=      30 |     0.0141 ms  (avg of 10000 runs)
  Insertion Sort  | almost_sorted_int    | size=      30 |     0.0034 ms  (avg of 10000 runs)
  Heap Sort       | almost_sorted_int    | size=      30 |     0.0183 ms  (avg of 10000 runs)
  Selection Sort  | almost_sorted_int    | size=      30 |     0.0103 ms  (avg of 10000 runs)
  Merge Sort      | almost_sorted_int    | size=      30 |     0.0217 ms  (avg of 10000 runs)
  Quick Sort      | almost_sorted_int    | size=      30 |     0.0186 ms  (avg of 10000 runs)
  Bubble Sort     | mixed_int            | size=      30 |     0.0166 ms  (avg of 10000 runs)
  Insertion Sort  | mixed_int            | size=      30 |     0.0089 ms  (avg of 10000 runs)
  Heap Sort       | mixed_int            | size=      30 |     0.0159 ms  (avg of 10000 runs)
  Selection Sort  | mixed_int            | size=      30 |     0.0108 ms  (avg of 10000 runs)
  Merge Sort      | mixed_int            | size=      30 |     0.0222 ms  (avg of 10000 runs)
  Quick Sort      | mixed_int            | size=      30 |     0.0085 ms  (avg of 10000 runs)
  Bubble Sort     | flat_int             | size=      30 |     0.0145 ms  (avg of 10000 runs)
  Insertion Sort  | flat_int             | size=      30 |     0.0053 ms  (avg of 10000 runs)
  Heap Sort       | flat_int             | size=      30 |     0.0131 ms  (avg of 10000 runs)
  Selection Sort  | flat_int             | size=      30 |     0.0107 ms  (avg of 10000 runs)
  Merge Sort      | flat_int             | size=      30 |     0.0218 ms  (avg of 10000 runs)
  Quick Sort      | flat_int             | size=      30 |     0.0154 ms  (avg of 10000 runs)
  Bubble Sort     | random_int           | size=      50 |     0.0518 ms  (avg of 10000 runs)
  Insertion Sort  | random_int           | size=      50 |     0.0314 ms  (avg of 10000 runs)
  Heap Sort       | random_int           | size=      50 |     0.0340 ms  (avg of 10000 runs)
  Selection Sort  | random_int           | size=      50 |     0.0284 ms  (avg of 10000 runs)
  Merge Sort      | random_int           | size=      50 |     0.0420 ms  (avg of 10000 runs)
  Quick Sort      | random_int           | size=      50 |     0.0126 ms  (avg of 10000 runs)
  Bubble Sort     | sorted_int           | size=      50 |     0.0013 ms  (avg of 10000 runs)
  Insertion Sort  | sorted_int           | size=      50 |     0.0022 ms  (avg of 10000 runs)
  Heap Sort       | sorted_int           | size=      50 |     0.0342 ms  (avg of 10000 runs)
  Selection Sort  | sorted_int           | size=      50 |     0.0254 ms  (avg of 10000 runs)
  Merge Sort      | sorted_int           | size=      50 |     0.0381 ms  (avg of 10000 runs)
  Quick Sort      | sorted_int           | size=      50 |     0.0554 ms  (avg of 10000 runs)
  Bubble Sort     | reverse_sorted_int   | size=      50 |     0.0632 ms  (avg of 10000 runs)
